,,,<,자동차,통계표,,>,,,,,,,,,,,,,,,,
조회년월:,2019.07,,,,,,,,,,,,,,,,,,,,,,
차종,차종,승용,,,,승합,,,,화물,,,,특수,,,,총계,,,,,
용도별,,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,,
시도별,,,,,,,,,,,,,,,,,,,,,,,
서울,," 4,422 "," 2,530,937 "," 127,184 "," 2,662,543 "," 3,663 "," 96,015 "," 17,254 "," 116,932 "," 4,024 "," 272,315 "," 57,217 "," 333,556 ", 356 ," 2,775 "," 4,978 "," 8,109 "," 12,465 "," 2,902,042 "," 206,633 "," 3,121,140 ",,
부산,," 1,662 "," 1,070,064 "," 69,329 "," 1,141,055 "," 1,250 "," 36,989 "," 6,130 "," 44,369 "," 1,635 "," 154,263 "," 33,504 "," 189,402 ", 135 ," 1,504 "," 8,787 "," 10,426 "," 4,682 "," 1,262,820 "," 117,750 "," 1,385,252 ",,
대구,, 954 ," 960,448 "," 23,456 "," 984,858 ", 902 ," 27,258 "," 4,171 "," 32,331 "," 1,318 "," 141,768 "," 19,122 "," 162,208 ", 115 , 911 ," 1,928 "," 2,954 "," 3,289 "," 1,130,385 "," 48,677 "," 1,182,351 ",,
인천,," 1,508 "," 1,071,947 "," 290,738 "," 1,364,193 "," 1,082 "," 39,272 "," 12,606 "," 52,960 "," 1,264 "," 162,170 "," 29,989 "," 193,423 ", 120 ," 1,738 "," 5,163 "," 7,021 "," 3,974 "," 1,275,127 "," 338,496 "," 1,617,597 ",,
광주,, 804 ," 539,376 "," 15,795 "," 555,975 ", 589 ," 17,605 "," 2,543 "," 20,737 ", 727 ," 79,547 "," 12,524 "," 92,798 ", 77 , 790 ," 1,789 "," 2,656 "," 2,197 "," 637,318 "," 32,651 "," 672,166 ",,
대전,, 655 ," 545,218 "," 14,552 "," 560,425 ", 536 ," 18,816 "," 2,171 "," 21,523 ", 621 ," 75,461 "," 11,308 "," 87,390 ", 74 , 783 ," 1,593 "," 2,450 "," 1,886 "," 640,278 "," 29,624 "," 671,788 ",,
울산,, 681 ," 464,613 "," 7,932 "," 473,226 ", 444 ," 12,795 "," 1,994 "," 15,233 ", 630 ," 61,982 "," 9,252 "," 71,864 ", 45 , 555 ," 2,112 "," 2,712 "," 1,800 "," 539,945 "," 21,290 "," 563,035 ",,
세종,, 323 ," 135,758 ", 591 ," 136,672 ", 158 ," 3,808 ", 411 ," 4,377 ", 221 ," 14,338 "," 1,530 "," 16,089 ", 35 , 159 , 166 , 360 , 737 ," 154,063 "," 2,698 "," 157,498 ",,
경기,," 7,056 "," 4,595,174 "," 72,716 "," 4,674,946 "," 4,153 "," 178,299 "," 32,152 "," 214,604 "," 5,534 "," 686,349 "," 111,255 "," 803,138 ", 464 ," 6,217 "," 10,986 "," 17,667 "," 17,207 "," 5,466,039 "," 227,109 "," 5,710,355 ",,
강원,," 1,786 "," 574,543 "," 12,049 "," 588,378 "," 1,492 "," 24,867 "," 3,241 "," 29,600 "," 2,364 "," 145,776 "," 8,316 "," 156,456 ", 166 ," 1,346 "," 1,612 "," 3,124 "," 5,808 "," 746,532 "," 25,218 "," 777,558 ",,
충북,," 1,340 "," 621,739 "," 14,735 "," 637,814 ", 962 ," 26,000 "," 3,803 "," 30,765 "," 1,495 "," 143,227 "," 13,878 "," 158,600 ", 119 ," 1,240 "," 2,706 "," 4,065 "," 3,916 "," 792,206 "," 35,122 "," 831,244 ",,
충남,," 1,836 "," 824,201 "," 13,142 "," 839,179 "," 1,163 "," 36,366 "," 5,481 "," 43,010 "," 2,291 "," 203,138 "," 17,143 "," 222,572 ", 254 ," 1,639 "," 2,898 "," 4,791 "," 5,544 "," 1,065,344 "," 38,664 "," 1,109,552 ",,
전북,," 1,651 "," 679,238 "," 19,933 "," 700,822 "," 1,229 "," 28,148 "," 4,283 "," 33,660 "," 1,963 "," 171,143 "," 15,104 "," 188,210 ", 151 ," 1,470 "," 2,109 "," 3,730 "," 4,994 "," 879,999 "," 41,429 "," 926,422 ",,
전남,," 2,091 "," 655,948 "," 98,261 "," 756,300 "," 1,533 "," 30,841 "," 8,105 "," 40,479 "," 2,389 "," 220,287 "," 19,872 "," 242,548 ", 180 ," 2,072 "," 4,631 "," 6,883 "," 6,193 "," 909,148 "," 130,869 "," 1,046,210 ",,
경북,," 2,591 "," 1,045,456 "," 14,669 "," 1,062,716 "," 1,735 "," 42,485 "," 5,429 "," 49,649 "," 2,905 "," 291,339 "," 23,487 "," 317,731 ", 239 ," 2,545 "," 4,915 "," 7,699 "," 7,470 "," 1,381,825 "," 48,500 "," 1,437,795 ",,
경남,," 2,408 "," 1,304,738 "," 47,358 "," 1,354,504 "," 1,893 "," 46,384 "," 7,524 "," 55,801 "," 2,513 "," 266,358 "," 24,562 "," 293,433 ", 184 ," 2,229 "," 5,363 "," 7,776 "," 6,998 "," 1,619,709 "," 84,807 "," 1,711,514 ",,
제주,, 842 ," 281,176 "," 195,351 "," 477,369 ", 455 ," 11,887 "," 7,735 "," 20,077 "," 1,022 "," 75,955 "," 3,535 "," 80,512 ", 83 , 607 , 649 ," 1,339 "," 2,402 "," 369,625 "," 207,270 "," 579,297 ",,
합계,," 32,610 "," 17,900,574 "," 1,037,791 "," 18,970,975 "," 23,239 "," 677,835 "," 125,033 "," 826,107 "," 32,916 "," 3,165,416 "," 411,598 "," 3,609,930 "," 2,797 "," 28,580 "," 62,385 "," 93,762 "," 91,562 "," 21,772,405 "," 1,636,807 "," 23,500,774 ",,
월간증감,2019.07,-94 ," 42,875 "," 10,229 "," 53,010 ",-19 ,"-2,330 ",-125 ,"-2,474 ", 25 ," 4,802 ", 733 ," 5,560 ", 13 , 357 , 143 , 513 ,-75 ," 45,704 "," 10,980 "," 56,609 ",,
,2018.06, 56 ," 44,180 "," 11,664 "," 55,900 ", 46 ,"-1,551 ",-49 ,"-1,554 ", 57 ," 5,174 "," 1,950 "," 7,181 ",-1 , 270 , 163 , 432 , 158 ," 48,073 "," 13,728 "," 61,959 ",,
,2017.06, 488 ," 49,845 "," 10,714 "," 61,047 ", 207 ,"-1,994 ", 188 ,"-1,599 ", 26 ," 6,084 ", 27 ," 6,137 ", 26 , 292 , 130 , 448 , 747 ," 54,227 "," 11,059 "," 66,033 ",,
년간증감,2019.07,-209 ," 237,386 "," 56,874 "," 294,051 ", 699 ,"-19,063 ", 677 ,"-17,687 ", 959 ," 13,141 "," 4,891 "," 18,991 ", 13 ," 1,368 "," 1,483 "," 2,864 "," 1,462 "," 232,832 "," 63,925 "," 298,219 ",,
,2018.06, 863 ," 333,716 "," 60,865 "," 395,444 ", 474 ,"-14,551 ",-517 ,"-14,594 ", 982 ," 29,435 "," 1,485 "," 31,902 ", 7 ," 1,986 ", 954 ," 2,947 "," 2,326 "," 350,586 "," 62,787 "," 415,699 ",,
,2017.06," 1,244 "," 382,024 "," 45,936 "," 429,204 ", 762 ,"-15,446 ", 590 ,"-14,094 ", 884 ," 30,199 "," 1,565 "," 32,648 ", 55 ," 1,924 "," 1,510 "," 3,489 "," 2,945 "," 398,701 "," 49,601 "," 451,247 ",,
